iter	Logloss
0	0.6657586099
1	0.6465992338
2	0.6271910497
3	0.6139954692
4	0.6022928049
5	0.5929042527
6	0.5841813723
7	0.5769327553
8	0.5722078437
9	0.5676394503
10	0.5639955606
11	0.5613438213
12	0.5587408633
13	0.5558195527
14	0.5538279786
15	0.5521000342
16	0.5507887535
17	0.5493942214
18	0.5483477485
19	0.54731883
20	0.5464689747
21	0.5455658349
22	0.5450583579
23	0.5446595368
24	0.543863722
25	0.5432973748
26	0.5428968107
27	0.5423899486
28	0.5415721163
29	0.5413835231
30	0.5410560258
31	0.5408300512
32	0.5401438273
33	0.5397396837
34	0.539432255
35	0.5391956739
36	0.5388133918
37	0.5384652888
38	0.5383046283
39	0.5379685341
40	0.5377888368
41	0.5374728049
42	0.5371704858
43	0.5369247271
44	0.5366686667
45	0.536583944
46	0.5362949483
47	0.5360783749
48	0.5358740817
49	0.5356267208
50	0.5354644352
51	0.5353840239
52	0.5350581191
53	0.5348413685
54	0.5346539728
55	0.5343694498
56	0.5341332659
57	0.533874126
58	0.5336278518
59	0.5335638829
60	0.5334616112
61	0.5330747307
62	0.5329878534
63	0.5327965599
64	0.5326026228
65	0.5324942307
66	0.5323412855
67	0.5320938478
68	0.5319026461
69	0.5317151841
70	0.5315022243
71	0.5314363202
72	0.5313078342
73	0.5311493816
74	0.5310259194
75	0.530900663
76	0.5307995433
77	0.5305332105
78	0.5303305209
79	0.5301919881
80	0.5301378744
81	0.5300274813
82	0.5299923381
83	0.5297402095
84	0.5296248463
85	0.5294084788
86	0.5292406788
87	0.5291177912
88	0.529017312
89	0.5288638535
90	0.5287102142
91	0.5286412296
92	0.5285789828
93	0.5282694956
94	0.5280980817
95	0.5280047656
96	0.5278458672
97	0.5276721401
98	0.5275440091
99	0.5274608204
100	0.5273067055
101	0.5271518422
102	0.5270316371
103	0.5268769649
104	0.5267577371
105	0.5265757413
106	0.5264611537
107	0.526200985
108	0.5260438025
109	0.5257171863
110	0.5254206065
111	0.5251023591
112	0.5249760843
113	0.5248192479
114	0.5246036798
115	0.5245029833
116	0.5243524135
117	0.5241577635
118	0.5239599866
119	0.5238585367
120	0.5236317692
121	0.5234254183
122	0.5231605146
123	0.5229379743
124	0.5228521904
125	0.5226003407
126	0.5224499608
127	0.5222516923
128	0.522013329
129	0.5218507719
130	0.5216324714
131	0.5214632892
132	0.5212405269
133	0.521153868
134	0.5210483772
135	0.5209673788
136	0.5207947211
137	0.5206466026
